,Hostname,IP-Adresse,Seriennr
1968,de-fid-astad-sh-01d,10.51.146.53,CN78DRW0D5
1969,de-fid-astad-sh-01e,10.51.146.52,CN78DRW0N5
1970,de-fid-baben-sh-01a,10.51.154.38,CN28DRV0XZ
1971,de-fid-baben-sh-01b,10.51.154.37,CN28DRV1C8
1972,de-fid-baben-sh-04a,10.51.201.118,CN63DRR1N7
1973,de-fid-bberg-sh-02c,10.51.156.206,CN78DRW0Y8
1974,de-fid-bberg-sh-02d,10.51.156.205,CN78DRW0GZ
1975,de-fid-buch0-sh-02a,10.51.188.78,CN32DRR195
1976,de-fid-egg01-sh-02a,10.51.171.206,CN35DRR33L
1977,de-fid-eheim-sh-02a,10.51.144.62,CN31DRR1C5
1978,de-fid-eheim-sh-02b,10.51.144.61,CN31DRR1J5
1979,de-fid-eheim-sh-02c,10.51.144.60,CN28DRV151
1980,de-fid-eheim-sh-02d,10.51.144.59,CN28DRV1BW
1981,de-fid-iberg-sh-01b,10.51.172.166,CN78FPB0M6
1982,de-fid-kellm-sh-02a,10.51.201.110,CN35DRR4MY
1983,de-fid-ketha-sh-03a,10.51.199.174,CN32DRR030
1984,de-fid-khasl-sh-02a,10.51.176.254,CN32DRR06Y
1987,de-fid-krumb-sh-02a,10.51.146.6,CN44DRV0FF
1988,de-fid-krumb-sh-02b,10.51.146.5,CN44DRV09M
1989,de-fid-krumb-sh-02c,10.51.146.4,CN44DRV0BD
1990,de-fid-laube-sh-05a,10.51.201.254,CN35DRR4KC
